ID_EQUIP_EDUCACAO;NOME;DEPENDENCIA_ADM;CODIGO_INEP;TIPO_LOGRADOURO;LOGRADOURO;NUMERO;COMPLEMENTO;BAIRRO;REGIONAL;GEOMETRIA
1983119;EMEI SOLIMÕES;EMEIS;31361879;RUA;WALDEMAR CANDIDO RODRIGUES;244;;Jardim Felicidade;NORTE;POINT (612110.50 7807677.60)
1982062;CENTRO INFANTIL BERENICE CATÃO DE MAGALHÃES PINTO;Creches Conveniadas;31299707;RUA;SAO ROQUE;1150;;Sagrada Família;LESTE;POINT (613135.75 7799333.87)
1982176;ESCOLA MUNICIPAL VICENTE GUIMARAES;Municipal;31003816;RUA;IZAURA PEREIRA ALMEIDA;110;;Letícia;VENDA NOVA;POINT (606872.70 7809292.70)
1983123;EMEI JARDIM VITÓRIA III;EMEIS;31361917;RUA;BERENICE RIBEIRO DE MIRANDA;240;;Jardim Vitória;NORDESTE;POINT (617245.51 7805781.85)
1982154;CRECHE COMUNITÁRIA LAR INFANTIL DORCAS;Creches Conveniadas;31282481;RUA;MARCAZITA;350;;Aparecida;NOROESTE;POINT (609961.22 7799433.55)
1981818;ESCOLA MUNICIPAL SANTOS DUMONT;Municipal;31003387;AVENIDA;MEM DE SA;600;;Santa Efigênia;LESTE;POINT (613904.37 7796739.16)
1981780;CRECHE VICENTINA DO SANTÍSSIMO SACRAMENTO;Creches Conveniadas;31281395;RUA;SALUTARES;200;;São Lucas;CENTRO-SUL;POINT (613242.27 7795592.34)
1981746;ESCOLA MUNICIPAL ANTONIO ALEIXO;Municipal;31003301;AVENIDA;OLINTO MEIRELES;250;;Barreiro;BARREIRO;POINT (603178.85 7791147.49)
1982211;CRECHE TIA CANDINHA;Creches Conveniadas;31006645;RUA;JOAO BATISTA DE ASSIS;209;;Tirol;BARREIRO;POINT (600905.51 7789302.74)
1981740;ESCOLA MUNICIPAL HUGO WERNECK;Municipal;31002887;RUA;OSCAR TROMPOWSKY;1372;;Grajaú;OESTE;POINT (608495.52 7794520.65)
1982142;ESCOLA MUNICIPAL JOAO PINHEIRO;Municipal;31002984;RUA;PADRE MANOEL BERNARDES;303;;Oeste;NOROESTE;POINT (604657.01 7795561.21)
